Energy in eV,Intensity
712.5147058823529,0.0009433962264150943
712.5542986425339,0.0014150943396226416
712.5938914027149,0.0018867924528301887
712.6334841628959,0.0028301886792452833
712.6730769230769,0.0033018867924528303
712.7126696832579,0.0042452830188679245
712.7522624434389,0.0051886792452830195
712.7918552036199,0.007075471698113208
712.8314479638009,0.008018867924528302
712.8710407239819,0.009433962264150945
712.9106334841629,0.01179245283018868
712.9502262443439,0.013207547169811321
712.9898190045249,0.015566037735849057
713.0294117647059,0.017924528301886792
713.0690045248869,0.02028301886792453
713.1085972850678,0.023113207547169813
713.1481900452488,0.025943396226415096
713.1877828054298,0.02830188679245283
713.2273755656108,0.03207547169811321
713.2669683257918,0.03490566037735849
713.3065610859728,0.03915094339622642
713.3461538461538,0.044811320754716985
713.3857466063348,0.049528301886792456
713.4253393665158,0.05471698113207547
713.4649321266968,0.062264150943396226
713.5045248868778,0.06933962264150943
713.5441176470588,0.07877358490566039
713.5837104072398,0.08867924528301888
713.6233031674208,0.09905660377358491
713.6628959276018,0.11037735849056605
713.7024886877828,0.12358490566037737
713.7420814479638,0.13773584905660377
713.7816742081448,0.15330188679245282
713.8212669683257,0.1688679245283019
713.8608597285067,0.1759433962264151
713.9004524886877,0.18443396226415096
713.9400452488687,0.1938679245283019
715.2070135746607,0.19811320754716982
715.2466063348417,0.194811320754717
715.2861990950227,0.19103773584905662
715.3257918552036,0.1867924528301887
715.3653846153846,0.17924528301886794
715.4049773755656,0.1707547169811321
715.4445701357466,0.16273584905660377
715.4841628959276,0.15330188679245282
715.5237556561086,0.144811320754717
715.5633484162896,0.13632075471698113
715.6029411764706,0.12830188679245283
715.6425339366516,0.12075471698113208
715.6821266968326,0.11320754716981132
715.7217194570136,0.10660377358490568
715.7613122171946,0.1
715.8009049773756,0.09528301886792453
715.8404977375566,0.09009433962264152
715.8800904977376,0.0849056603773585
715.9196832579186,0.08066037735849058
715.9592760180996,0.07641509433962265
715.9988687782806,0.07311320754716981
716.0384615384615,0.06981132075471698
716.0780542986425,0.0669811320754717
716.1176470588235,0.06415094339622641
716.1572398190045,0.061792452830188686
716.1968325791855,0.059433962264150944
716.2364253393665,0.057547169811320756
716.2760180995475,0.05613207547169812
716.3156108597285,0.05424528301886793
716.3552036199095,0.052830188679245285
716.3947963800905,0.05141509433962265
716.4343891402715,0.05047169811320756
716.4739819004525,0.049528301886792456
716.5135746606335,0.04858490566037736
716.5531674208145,0.04716981132075472
716.5927601809955,0.04575471698113208
716.6323529411765,0.044811320754716985
716.6719457013575,0.04386792452830189
716.7115384615385,0.0429245283018868
716.7511312217194,0.0419811320754717
716.7907239819004,0.04056603773584906
716.8303167420814,0.04056603773584906
716.8699095022624,0.03962264150943397
716.9095022624434,0.03867924528301887
716.9490950226244,0.03773584905660378
716.9886877828054,0.037264150943396225
717.0282805429864,0.03632075471698113
717.0678733031674,0.035849056603773584
717.1074660633484,0.03537735849056604
717.1470588235294,0.03443396226415094
717.1866515837104,0.033962264150943396
717.2262443438914,0.03349056603773585
717.2658371040724,0.032547169811320754
717.3054298642534,0.03207547169811321
717.3450226244344,0.03160377358490566
717.3846153846154,0.030660377358490566
717.4242081447964,0.03018867924528302
717.4638009049773,0.029716981132075472
717.5033936651583,0.028773584905660378
717.5429864253393,0.02830188679245283
717.5825791855203,0.027830188679245284
717.6221719457013,0.02688679245283019
717.6617647058823,0.026415094339622643
717.7013574660633,0.025943396226415096
717.7409502262443,0.02547169811320755
717.7805429864253,0.024528301886792454
717.8201357466063,0.024056603773584907
717.8597285067873,0.02358490566037736
717.8993212669683,0.022641509433962266
717.9389140271493,0.02216981132075472
717.9785067873303,0.021698113207547172
718.0180995475113,0.021226415094339625
718.0576923076923,0.02028301886792453
718.0972850678733,0.02028301886792453
718.1368778280543,0.019339622641509437
718.1764705882352,0.019339622641509437
718.2160633484162,0.01839622641509434
718.2556561085972,0.01839622641509434
718.2952488687782,0.017452830188679245
718.3348416289592,0.017452830188679245
718.3744343891402,0.01650943396226415
718.4140271493212,0.01650943396226415
718.4536199095022,0.015566037735849057
718.4932126696832,0.015566037735849057
718.5328054298642,0.014622641509433962
718.5723981900453,0.014622641509433962
718.6119909502263,0.013679245283018868
718.6515837104073,0.013679245283018868
718.6911764705883,0.012735849056603774
718.7307692307693,0.012735849056603774
718.7703619909503,0.01179245283018868
718.8099547511313,0.01179245283018868
718.8495475113123,0.01179245283018868
718.8891402714933,0.010849056603773586
718.9287330316743,0.010849056603773586
718.9683257918552,0.010377358490566039
719.0079185520362,0.009905660377358492
719.0475113122172,0.009905660377358492
719.0871040723982,0.009905660377358492
719.1266968325792,0.009433962264150945
719.1662895927602,0.008962264150943396
719.2058823529412,0.008962264150943396
719.2454751131222,0.008962264150943396
719.2850678733032,0.008490566037735849
719.3246606334842,0.008018867924528302
719.3642533936652,0.008018867924528302
719.4038461538462,0.007547169811320755
719.4434389140272,0.007547169811320755
719.4830316742082,0.007075471698113208
719.5226244343892,0.007075471698113208
719.5622171945702,0.006603773584905661
719.6018099547512,0.006132075471698114
719.6414027149322,0.006132075471698114
719.6809954751131,0.006132075471698114
719.7205882352941,0.0056603773584905665
719.7601809954751,0.0056603773584905665
719.7997737556561,0.0051886792452830195
719.8393665158371,0.0051886792452830195
719.8789592760181,0.0051886792452830195
719.9185520361991,0.004716981132075472
719.9581447963801,0.004716981132075472
719.9977375565611,0.0042452830188679245
720.0373303167421,0.0042452830188679245
720.0769230769231,0.0042452830188679245
720.1165158371041,0.0042452830188679245
720.1561085972851,0.0042452830188679245
720.1957013574661,0.0037735849056603774
720.2352941176471,0.0037735849056603774
720.2748868778281,0.0033018867924528303
720.3144796380091,0.0033018867924528303
720.35407239819,0.0033018867924528303
720.393665158371,0.0033018867924528303
720.433257918552,0.0028301886792452833
720.472850678733,0.0028301886792452833
720.512443438914,0.002358490566037736
720.552036199095,0.002358490566037736
720.591628959276,0.002358490566037736
720.631221719457,0.002358490566037736
720.670814479638,0.002358490566037736
720.710407239819,0.0018867924528301887
720.75,0.0018867924528301887
720.789592760181,0.0018867924528301887
720.829185520362,0.0018867924528301887
720.868778280543,0.0018867924528301887
720.908371040724,0.0018867924528301887
720.947963800905,0.0014150943396226416
720.987556561086,0.0014150943396226416
721.027149321267,0.0014150943396226416
721.066742081448,0.0014150943396226416
721.106334841629,0.0014150943396226416
721.14592760181,0.0014150943396226416
721.1855203619909,0.0014150943396226416
721.2251131221719,0.0009433962264150943
721.2647058823529,0.0009433962264150943
721.3042986425339,0.0009433962264150943
721.3438914027149,0.0009433962264150943
721.3834841628959,0.0009433962264150943
721.4230769230769,0.0009433962264150943
726.6493212669683,0.0009433962264150943
726.6889140271493,0.0009433962264150943
726.7285067873303,0.0014150943396226416
726.7680995475113,0.0014150943396226416
726.8076923076923,0.0018867924528301887
726.8472850678733,0.0018867924528301887
726.8868778280543,0.002358490566037736
726.9264705882352,0.002358490566037736
726.9660633484162,0.0028301886792452833
727.0056561085972,0.0033018867924528303
727.0452488687782,0.0033018867924528303
727.0848416289592,0.0042452830188679245
727.1244343891402,0.0042452830188679245
727.1640271493212,0.0051886792452830195
727.2036199095022,0.0051886792452830195
727.2432126696832,0.006132075471698114
727.2828054298643,0.006603773584905661
727.3223981900453,0.007075471698113208
727.3619909502263,0.007547169811320755
727.4015837104073,0.008018867924528302
727.4411764705883,0.008018867924528302
727.4807692307693,0.008962264150943396
727.5203619909503,0.008962264150943396
727.5599547511313,0.009905660377358492
727.5995475113123,0.009905660377358492
727.6391402714933,0.010849056603773586
727.6787330316743,0.010849056603773586
727.7183257918552,0.011320754716981133
727.7579185520362,0.01179245283018868
727.7975113122172,0.01179245283018868
727.8371040723982,0.01179245283018868
727.8766968325792,0.01179245283018868
727.9162895927602,0.01179245283018868
727.9558823529412,0.01179245283018868
727.9954751131222,0.01179245283018868
728.0350678733032,0.01179245283018868
728.0746606334842,0.011320754716981133
728.1142533936652,0.011320754716981133
728.1538461538462,0.011320754716981133
728.1934389140272,0.010849056603773586
728.2330316742082,0.010849056603773586
728.2726244343892,0.010849056603773586
728.3122171945702,0.010849056603773586
728.3518099547512,0.010849056603773586
728.3914027149322,0.010849056603773586
728.4309954751131,0.010377358490566039
728.4705882352941,0.009905660377358492
728.5101809954751,0.009905660377358492
728.5497737556561,0.009905660377358492
728.5893665158371,0.008962264150943396
728.6289592760181,0.008962264150943396
728.6685520361991,0.008018867924528302
728.7081447963801,0.008018867924528302
728.7477375565611,0.008018867924528302
728.7873303167421,0.007075471698113208
728.8269230769231,0.007075471698113208
728.8665158371041,0.007075471698113208
728.9061085972851,0.006132075471698114
728.9457013574661,0.006132075471698114
728.9852941176471,0.006132075471698114
729.0248868778281,0.0051886792452830195
729.0644796380091,0.0051886792452830195
729.10407239819,0.0051886792452830195
729.143665158371,0.0042452830188679245
729.183257918552,0.0042452830188679245
729.222850678733,0.0042452830188679245
729.262443438914,0.0033018867924528303
729.302036199095,0.0033018867924528303
729.341628959276,0.0028301886792452833
729.381221719457,0.002358490566037736
729.420814479638,0.002358490566037736
729.460407239819,0.002358490566037736
729.5,0.0018867924528301887
729.539592760181,0.0018867924528301887
729.579185520362,0.0018867924528301887
729.618778280543,0.0018867924528301887
729.658371040724,0.0018867924528301887
729.697963800905,0.0018867924528301887
729.737556561086,0.0014150943396226416
729.777149321267,0.0014150943396226416
729.816742081448,0.0014150943396226416
729.856334841629,0.0014150943396226416
729.89592760181,0.0014150943396226416
729.9355203619909,0.0014150943396226416
729.9751131221719,0.0014150943396226416
730.0147058823529,0.0009433962264150943
730.0542986425339,0.0009433962264150943
730.0938914027149,0.0009433962264150943
730.1334841628959,0.0009433962264150943
730.1730769230769,0.0009433962264150943
730.2126696832579,0.0009433962264150943
730.2522624434389,0.0009433962264150943
730.8857466063348,0.0009433962264150943
730.9253393665158,0.0009433962264150943
730.9649321266968,0.0009433962264150943
731.0045248868778,0.0009433962264150943
731.0441176470588,0.0009433962264150943
731.0837104072398,0.0009433962264150943
731.1233031674208,0.0009433962264150943
731.1628959276018,0.0009433962264150943
731.2024886877828,0.0009433962264150943
731.2420814479638,0.0009433962264150943
731.2816742081448,0.0009433962264150943
731.3212669683257,0.0009433962264150943
731.3608597285067,0.0009433962264150943
731.4004524886877,0.0009433962264150943
731.4400452488687,0.0009433962264150943
731.4796380090497,0.0009433962264150943
731.5192307692307,0.0009433962264150943
731.5588235294117,0.0009433962264150943
731.5984162895927,0.0009433962264150943
731.6380090497737,0.0014150943396226416
731.6776018099547,0.0014150943396226416
731.7171945701357,0.0018867924528301887
731.7567873303167,0.002358490566037736
731.7963800904978,0.0028301886792452833
731.8359728506788,0.0033018867924528303
731.8755656108598,0.0033018867924528303
731.9151583710408,0.0037735849056603774
731.9547511312218,0.0042452830188679245
731.9943438914028,0.0042452830188679245
732.0339366515838,0.0042452830188679245
732.0735294117648,0.0042452830188679245
732.1131221719457,0.0042452830188679245
732.1527149321267,0.0042452830188679245
732.1923076923077,0.004716981132075472
732.2319004524887,0.004716981132075472
732.2714932126697,0.0051886792452830195
