# ROI spectrum (quick check)
# Parameter: Photon energy (eV)
# Axis source: PreviewController.currentAxis
Photon energy (eV),Intensity
855.0,398.18888888888887
855.2,397.2466049382716
855.4,398.2825617283951
855.6,404.8541666666667
855.8,396.27854938271605
856.0,393.85524691358023
856.2,391.6827160493827
856.4,385.92422839506173
856.6,388.1104938271605
856.8,388.7961419753086
857.0,394.3804012345679
857.2,390.0945987654321
857.4,385.48503086419754
857.6,390.92978395061726
857.8,387.33657407407406
858.0,388.56666666666666
858.2,380.62283950617285
858.4,378.8125
858.6,379.8524691358025
858.8,387.5942901234568
859.0,384.8756172839506
859.2,387.24243827160495
859.4,389.679012345679
859.6,397.5035493827161
859.8,396.3983024691358
860.0,393.86265432098764
860.2,393.80462962962963
860.4,396.99845679012344
860.6,397.025462962963
860.8,402.60092592592594
861.0,404.43765432098763
861.2,398.18503086419753
861.4,396.43904320987656
861.6,397.1695987654321
861.8,397.2146604938272
862.0,399.9256172839506
862.2,400.6956790123457
862.4,406.020987654321
862.6,398.3260802469136
862.8,406.79675925925926
863.0,405.0043209876543
863.2,404.8895061728395
863.4,401.1030864197531
863.6,405.98024691358023
863.8,409.9662037037037
864.0,407.02515432098767
864.2,412.93703703703704
864.4,428.1979938271605
864.6,429.96496913580245
864.8,453.8223765432099
865.0,478.7799382716049
865.2,486.47484567901233
865.4,526.7967592592593
865.6,587.2148148148148
865.8,673.0310185185185
866.0,765.583487654321
866.2,1011.9064814814815
866.4,1272.6638888888888
866.6,1458.2364197530865
866.8,1485.137962962963
867.0,1338.2739197530864
867.2,1117.4754629629629
867.4,927.6847222222223
867.6,846.0503086419753
867.8,788.578549382716
868.0,745.141512345679
868.2,745.3830246913581
868.4,764.9120370370371
868.6,768.0736111111111
868.8,753.2237654320987
869.0,690.1929012345679
869.2,628.2282407407407
869.4,597.1191358024691
869.6,582.1413580246914
869.8,577.5722222222222
870.0,564.6975308641976
870.2,543.066975308642
870.4,522.5837962962963
870.6,497.31095679012344
870.8,480.14891975308643
871.0,455.47854938271604
871.2,442.25246913580247
871.4,431.0444444444444
871.6,425.94336419753085
871.8,418.8483024691358
872.0,422.5010802469136
872.2,419.3063271604938
872.4,419.7979938271605
872.6,418.8229938271605
872.8,420.20787037037036
873.0,421.15447530864196
873.2,420.712037037037
873.4,408.00493827160494
873.6,409.86820987654323
873.8,409.2341049382716
874.0,400.5625
874.2,402.8117283950617
874.4,392.91265432098766
874.6,387.6177469135802
874.8,382.81404320987656
875.0,383.31388888888887
875.2,389.66975308641975
875.4,394.5371913580247
875.6,396.08086419753084
875.8,400.72083333333336
876.0,400.14243827160493
876.2,396.4577160493827
876.4,403.0444444444444
876.6,404.9733024691358
876.8,400.858487654321
877.0,394.86836419753087
877.2,398.41975308641975
877.4,390.07345679012343
877.6,391.8081790123457
877.8,394.87623456790124
878.0,404.1091049382716
878.2,401.23595679012345
878.4,410.81095679012344
878.6,405.33996913580245
878.8,419.2418209876543
879.0,429.600462962963
879.2,427.5128086419753
879.4,425.88595679012343
879.6,431.18333333333334
879.8,458.7398148148148
880.0,447.75
880.2,449.2104938271605
880.4,468.32114197530865
880.6,462.63024691358027
880.8,470.60663580246916
881.0,475.6538580246914
881.2,476.3695987654321
881.4,486.3114197530864
881.6,473.4248456790123
881.8,483.92978395061726
882.0,472.49320987654323
882.2,479.2030864197531
882.4,471.7481481481482
882.6,476.0010802469136
882.8,478.14552469135805
883.0,493.1986111111111
883.2,500.8225308641975
883.4,506.2782407407407
883.6,537.8447530864197
883.8,560.4436728395061
884.0,672.3779320987654
884.2,723.362037037037
884.4,745.958487654321
884.6,767.0871913580247
884.8,718.9041666666667
885.0,691.6498456790124
