# ROI spectrum (quick check)
# Parameter: Photon energy (eV)
# Axis source: PreviewController.currentAxis
Photon energy (eV),Intensity
460.0,1.267223024036287
460.2,1.2661351344633465
460.4,1.262792760085158
460.6,1.2613890174290041
460.8,1.257985506897994
461.0,1.2542907240759755
461.2,1.251113521058117
461.4,1.2490391544242765
461.6,1.2461466455694423
461.8,1.245107422504044
462.0,1.2434069672142893
462.2,1.2395893814885492
462.4,1.235675426098602
462.6,1.231910855151594
462.8,1.225935668913867
463.0,1.2199781017025182
463.2,1.2136168706481865
463.4,1.2087812943028309
463.6,1.203335256349402
463.8,1.2013352328925553
464.0,1.197708240387246
464.2,1.197214224148779
464.4,1.197101579471068
464.6,1.1959103346309587
464.8,1.197826066967802
465.0,1.1996773831047802
465.2,1.2020825573222007
465.4,1.2022871234928996
465.6,1.200967406843279
465.8,1.203683244524787
466.0,1.20481706422371
466.2,1.2076283971902726
466.4,1.2090263475948533
466.6,1.2131853541950806
466.8,1.2146708289021937
467.0,1.2161749759806009
467.2,1.217273171822833
467.4,1.2175410531674642
467.6,1.219448442483669
467.8,1.2194109126009434
468.0,1.2168157142008686
468.2,1.217003271936844
468.4,1.215865995985026
468.6,1.2148954876616629
468.8,1.2149240423352805
469.0,1.214738094616379
469.2,1.2150296852824292
469.4,1.214908662781526
469.6,1.2151134093283096
469.8,1.21705917366415
470.0,1.2168444616836693
470.2,1.2166129135200179
470.4,1.2163829092469016
470.6,1.216024828722371
470.8,1.2140696804203346
471.0,1.2113563988421465
471.2,1.2104950314886396
471.4,1.2092146236130217
471.6,1.2087085682518766
471.8,1.2084200419413873
472.0,1.2083548129677812
472.2,1.2090384452053904
472.4,1.2083185314659786
472.6,1.207306827446025
472.8,1.2047832476705411
473.0,1.2048410276628143
473.2,1.2037044821529956
473.4,1.2041478172631221
473.6,1.2047487363079241
473.8,1.2042034187235109
474.0,1.2028090971641494
474.2,1.2015115664220675
474.4,1.2017674979396467
474.6,1.2014378036565208
474.8,1.2003372521655795
475.0,1.1977546133204737
475.2,1.1952570387856358
475.4,1.1945078471677835
475.6,1.1926858559694509
475.8,1.1920843385231665
476.0,1.1913706134774062
476.2,1.19070163770007
476.4,1.1908854072244848
476.6,1.1909803464919326
476.8,1.1915362454089602
477.0,1.1915552414861768
477.2,1.1891502099001812
477.4,1.18814415249079
477.6,1.1844631512336738
477.8,1.1822654706468456
478.0,1.1813029482763324
478.2,1.1823889883204521
478.4,1.1834540019910684
478.6,1.1838586114816807
478.8,1.1835481536107681
479.0,1.1840847631880345
479.2,1.1850893415816843
479.4,1.185979814831997
479.6,1.1844793471612005
479.8,1.1835501139240627
480.0,1.1836662962045834
480.2,1.1831930993833588
480.4,1.1837598808210137
480.6,1.1828769420856773
480.8,1.1829783950685497
481.0,1.1825768756296928
481.2,1.1822647587347177
481.4,1.1824084090731712
481.6,1.1816404436420884
481.8,1.180575584695224
482.0,1.178655567582029
482.2,1.178784626783742
482.4,1.1788326907161946
482.6,1.1787118237420493
482.8,1.1785150960275033
483.0,1.1760482144871318
483.2,1.1768555322367407
483.4,1.176754939081066
483.6,1.1751043668766867
483.8,1.1756282854286688
484.0,1.1752095712205635
484.2,1.1741897484987087
484.4,1.1703838356978813
484.6,1.1706304047279905
484.8,1.1681123381628398
485.0,1.1666027451444156
485.2,1.1642417087501489
485.4,1.1647801276958099
485.6,1.1619404437458827
485.8,1.1597437531002297
486.0,1.1554692567751144
486.2,1.1527955984119163
486.4,1.1504904029830374
486.6,1.1486984291777638
486.8,1.14818287298942
487.0,1.1476336010993977
487.2,1.1474391232290746
487.4,1.1506511460482352
487.6,1.151861046177202
487.8,1.1546412360137794
488.0,1.156906730926524
488.2,1.15921292256205
488.4,1.1603857159452613
488.6,1.160363658066583
488.8,1.1597035607394959
489.0,1.1624381216279813
489.2,1.1641632493133658
489.4,1.1633655895675874
489.6,1.159628895283771
489.8,1.1600029421064546
490.0,1.160863784810202
490.2,1.1619393650657874
490.4,1.162183772029011
490.6,1.162100805018802
490.8,1.1604124035420131
491.0,1.1596761269881422
491.2,1.156777146126964
491.4,1.1556120524755438
491.6,1.1560391647911794
491.8,1.156835820178787
492.0,1.1562231493390296
492.2,1.1541568560979785
492.4,1.151022517561683
492.6,1.14997750002801
492.8,1.1475600553276881
493.0,1.1461582290522985
493.2,1.1432571749744957
493.4,1.1431346758871133
493.6,1.1429670532697407
493.8,1.1418565870458268
494.0,1.1416918620624077
494.2,1.1410967455935428
494.4,1.1404952490794
494.6,1.1422578252098723
494.8,1.1415589159806048
495.0,1.1422655473785979
495.2,1.1433612183335278
495.4,1.1443708340990493
495.6,1.143549912073436
495.8,1.1442210638994108
496.0,1.1440403750740926
496.2,1.145022296482421
496.4,1.1441265401876108
496.6,1.1439761025920725
496.8,1.1439566590076635
497.0,1.14119015364648
497.2,1.141498748631004
497.4,1.1412330046658823
497.6,1.1409986861042538
497.8,1.1406907393750687
498.0,1.14052890811854
498.2,1.1404658497648468
498.4,1.1388508717228032
498.6,1.1360770480509699
498.8,1.1321748581340734
499.0,1.132237870679306
499.2,1.1324758263321488
499.4,1.13220157496632
499.6,1.130126089080333
499.8,1.1276348153023572
500.0,1.126039819817007
500.2,1.1253401470639137
500.4,1.1260054490917957
500.6,1.1247091295595524
500.8,1.1249783195746683
501.0,1.1274310397012688
501.2,1.1295733140020479
501.4,1.13057991981061
501.6,1.1319853862036695
501.8,1.1315667988941434
502.0,1.1309689985933815
502.2,1.1310452158887268
502.4,1.1301074574565368
502.6,1.1291334911528037
502.8,1.125073391145803
503.0,1.122527006699358
503.2,1.1207641873154002
503.4,1.1196971783433673
503.6,1.118654814387156
503.8,1.1165668660593264
504.0,1.1173206626673888
504.2,1.1170042065367294
504.4,1.1176052562218486
504.6,1.1185846773627712
504.8,1.1211809908987427
505.0,1.1219909021758039
