Energy_TIFF,Energy_TXT
459.895,460.0
460.248,460.2
460.797,460.4
460.976,460.6
461.191,460.8
461.254,461.0
461.482,461.2
461.635,461.4
461.907,461.6
462.201,461.8
462.244,462.0
462.353,462.2
462.764,462.4
462.816,462.6
463.023,462.8
463.259,463.0
463.615,463.2
463.764,463.4
463.796,463.6
463.992,463.8
464.334,464.0
464.53,464.2
464.802,464.4
464.966,464.6
465.04,464.8
465.317,465.0
465.399,465.2
465.542,465.4
465.833,465.6
466.004,465.8
466.424,466.0
466.449,466.2
466.563,466.4
467.013,466.6
467.034,466.8
467.274,467.0
467.526,467.2
467.575,467.4
467.832,467.6
468.218,467.8
468.316,468.0
468.576,468.2
468.786,468.4
468.911,468.6
468.956,468.8
469.189,469.0
469.347,469.2
469.771,469.4
469.871,469.6
470.199,469.8
470.369,470.0
470.638,470.2
470.792,470.4
470.846,470.6
470.969,470.8
471.185,471.0
471.548,471.2
471.813,471.4
471.923,471.6
471.941,471.8
472.16,472.0
472.541,472.2
472.689,472.4
472.774,472.6
472.939,472.8
473.415,473.0
473.559,473.2
473.73,473.4
474.008,473.6
474.145,473.8
474.134,474.0
474.355,474.2
474.566,474.4
474.962,474.6
475.145,474.8
475.242,475.0
475.405,475.2
475.741,475.4
475.756,475.6
476.001,475.8
476.293,476.0
476.339,476.2
476.793,476.4
476.943,476.6
477.014,476.8
477.306,477.0
477.552,477.2
477.561,477.4
478.019,477.6
477.981,477.8
478.309,478.0
478.638,478.2
478.642,478.4
478.998,478.6
479.257,478.8
479.386,479.0
479.354,479.2
479.813,479.4
479.8,479.6
479.993,479.8
480.399,480.0
480.424,480.2
480.8,480.4
481.032,480.6
481.155,480.8
481.339,481.0
481.649,481.2
481.804,481.4
481.782,481.6
482.242,481.8
482.418,482.0
482.461,482.2
482.554,482.4
482.906,482.6
483.216,482.8
483.196,483.0
483.404,483.2
483.653,483.4
483.999,483.6
484.203,483.8
484.189,484.0
484.327,484.2
484.595,484.4
484.757,484.6
485.193,484.8
485.438,485.0
485.58,485.2
485.82,485.4
485.912,485.6
486.242,485.8
486.248,486.0
486.402,486.2
486.866,486.4
486.826,486.6
486.947,486.8
487.205,487.0
487.579,487.2
487.531,487.4
487.835,487.6
488.255,487.8
488.301,488.0
488.59,488.2
488.533,488.4
488.971,488.6
489.28,488.8
489.454,489.0
489.414,489.2
489.545,489.4
490.053,489.6
489.95,489.8
490.459,490.0
490.652,490.2
490.839,490.4
491.058,490.6
491.22,490.8
491.447,491.0
491.655,491.2
491.827,491.4
491.934,491.6
492.037,491.8
492.459,492.0
492.397,492.2
492.605,492.4
493.074,492.6
493.008,492.8
493.422,493.0
493.671,493.2
493.752,493.4
493.876,493.6
493.998,493.8
494.462,494.0
494.368,494.2
494.752,494.4
495.034,494.6
494.946,494.8
495.13,495.0
495.355,495.2
495.703,495.4
495.798,495.6
496.252,495.8
496.447,496.0
496.527,496.2
496.853,496.4
496.776,496.6
497.251,496.8
497.252,497.0
497.439,497.2
497.841,497.4
497.794,497.6
498.099,497.8
498.173,498.0
498.661,498.2
498.71,498.4
499.04,498.6
499.228,498.8
499.14,499.0
499.633,499.2
499.534,499.4
500.091,499.6
500.093,499.8
500.305,500.0
500.658,500.2
500.794,500.4
500.991,500.6
501.258,500.8
501.309,501.0
501.665,501.2
501.643,501.4
501.806,501.6
501.992,501.8
502.193,502.0
502.406,502.2
502.892,502.4
502.989,502.6
503.155,502.8
503.167,503.0
503.335,503.2
503.656,503.4
503.731,503.6
504.006,503.8
504.284,504.0
504.664,504.2
504.801,504.4
504.74,504.6
505.188,504.8
505.316,505.0
