Energy, ROI1, machine_cur, Keithley_1_raw, Image
700.0, 324941.0, 400.6201134197484, 5.26514E-8, 
700.3, 322449.0, 400.5934264201296, 5.226007E-8, 
700.6, 323149.0, 400.5667394205109, 5.220687E-8, 
700.9, 320783.0, 400.5362399923752, 5.211631E-8, 
701.2, 320364.0, 400.5095529927564, 5.212845E-8, 
701.5, 317874.0, 400.4866784216546, 5.207886E-8, 
701.8, 318178.0, 400.4599914220358, 5.197536E-8, 
702.1, 316818.0, 400.4294919939001, 5.185366E-8, 
702.4, 317333.0, 400.4028049942813, 5.165561E-8, 
702.7, 315991.0, 400.37611799466254, 5.155355E-8, 
703.0, 316486.0, 400.34943099504386, 5.150897E-8, 
703.1, 316955.0, 400.32655642394207, 5.160479E-8, 
703.2, 314987.0, 400.2998694243233, 5.179028E-8, 
703.3000000000001, 316488.0, 400.2693699961876, 5.165553E-8, 
703.4, 316835.0, 400.2426829965688, 5.155837E-8, 
703.5, 316915.0, 400.219808425467, 5.168609E-8, 
703.6, 316839.0, 400.1931214258483, 5.168038E-8, 
703.7, 314724.0, 400.22743328250095, 5.163107E-8, 
703.8000000000001, 315813.0, 401.1805404117423, 5.156076E-8, 
703.9, 315059.0, 401.9010894014487, 5.15593E-8, 
704.0, 316660.0, 402.0459616850934, 5.160726E-8, 
704.1, 315634.0, 402.01927468547467, 5.146756E-8, 
704.2, 315324.0, 401.9964001143729, 5.147163E-8, 
704.3000000000001, 315705.0, 401.9697131147541, 5.15725E-8, 
704.4, 315963.0, 401.9430261151354, 5.162217E-8, 
704.5, 316077.0, 401.92015154403356, 5.15015E-8, 
704.6, 315364.0, 401.89346454441477, 5.147772E-8, 
704.7, 316941.0, 401.8744024018299, 5.146393E-8, 
704.8000000000001, 315894.0, 401.84771540221124, 5.144817E-8, 
704.9, 315101.0, 401.82102840259245, 5.140819E-8, 
705.0, 316067.0, 401.79815383149065, 5.130283E-8, 
705.1, 314774.0, 401.7752792603889, 5.133704E-8, 
705.2, 313849.0, 401.74477983225313, 5.13019E-8, 
705.3000000000001, 313085.0, 401.7142804041174, 5.115343E-8, 
705.4, 313147.0, 401.6875934044987, 5.136762E-8, 
705.5, 313144.0, 401.66090640487994, 5.147258E-8, 
705.6, 313080.0, 401.63421940526115, 5.120072E-8, 
705.7, 312384.0, 401.6037199771255, 5.099838E-8, 
705.8000000000001, 311377.0, 401.5732205489897, 5.117998E-8, 
705.9, 311654.0, 401.5465335493709, 5.109073E-8, 
706.0, 313579.0, 401.52365897826917, 5.103055E-8, 
706.1, 311958.0, 401.49697197865044, 5.103812E-8, 
706.2, 311711.0, 401.46647255051465, 5.097807E-8, 
706.3000000000001, 310949.0, 401.4435979794129, 5.091817E-8, 
706.4, 309868.0, 401.4207234083111, 5.098202E-8, 
706.5, 310535.0, 401.39022398017534, 5.087732E-8, 
706.6, 309997.0, 401.36353698055666, 5.074167E-8, 
706.7, 310360.0, 401.33684998093787, 5.068395E-8, 
706.8000000000001, 308810.0, 401.3139754098361, 5.073852E-8, 
706.9, 308877.0, 401.2911008387342, 5.034175E-8, 
707.0, 308998.0, 401.26441383911555, 5.03806E-8, 
707.1, 307368.0, 401.23391441097976, 5.03646E-8, 
707.2, 308048.0, 401.21103983987797, 5.042155E-8, 
707.3000000000001, 307606.0, 401.1843528402593, 5.031789E-8, 
707.4, 306936.0, 401.16529069767444, 5.014778E-8, 
707.5, 306460.0, 401.13860369805565, 5.01565E-8, 
707.6, 307230.0, 401.11191669843697, 5.01346E-8, 
707.7, 306769.0, 401.0852296988182, 4.9956E-8, 
707.8000000000001, 307369.0, 401.06235512771633, 5.00012E-8, 
707.9, 305309.0, 401.03185569958066, 4.984298E-8, 
708.0, 306121.0, 401.00516869996187, 5.020679E-8, 
708.1, 306258.0, 400.9784817003431, 5.013998E-8, 
708.2, 308625.0, 400.94798227220747, 5.000835E-8, 
708.3000000000001, 307810.0, 400.9289201296226, 5.014943E-8, 
708.4, 307770.0, 400.9022331300038, 5.040725E-8, 
708.5, 307247.0, 400.87935855890197, 5.022618E-8, 
708.6, 307836.0, 400.8488591307663, 5.020875E-8, 
708.7, 308435.0, 400.82217213114757, 5.024726E-8, 
708.8000000000001, 306036.0, 400.7992975600457, 5.002831E-8, 
708.9, 307932.0, 400.77261056042704, 5.029638E-8, 
709.0, 307411.0, 400.74592356080825, 5.013546E-8, 
709.1, 308007.0, 400.7230489897064, 5.029028E-8, 
709.2, 305299.0, 400.7001744186047, 5.015039E-8, 
709.3000000000001, 307750.0, 400.67729984750287, 5.005457E-8, 
709.4, 307002.0, 400.65442527640107, 5.024409E-8, 
709.5, 306836.0, 400.6315507052992, 5.031305E-8, 
709.6, 308034.0, 400.60486370568054, 5.02672E-8, 
709.7, 308042.0, 400.58198913457875, 5.014532E-8, 
709.8000000000001, 307247.0, 400.55148970644296, 5.023082E-8, 
709.9, 306989.0, 400.5248027068243, 5.017876E-8, 
710.0, 307020.0, 400.50192813572244, 5.011393E-8, 
710.1, 307229.0, 400.4752411361037, 5.014793E-8, 
710.2, 306560.0, 400.448554136485, 5.00533E-8, 
710.3000000000001, 305292.0, 400.4256795653832, 5.012679E-8, 
710.4, 305180.0, 400.3951801372474, 4.992903E-8, 
710.5, 306165.0, 400.3684931376287, 4.999677E-8, 
710.6, 305117.0, 400.3456185665269, 4.987353E-8, 
710.7, 306053.0, 400.3113067098742, 5.013247E-8, 
710.8000000000001, 305630.0, 400.28461971025547, 5.007734E-8, 
710.9, 306314.0, 400.2617451391537, 4.9992E-8, 
711.0, 304628.0, 400.2350581395349, 5.000151E-8, 
711.1, 305670.0, 400.20837113991615, 5.014405E-8, 
711.2, 306395.0, 400.1778717117804, 5.001057E-8, 
711.3000000000001, 305128.0, 400.15499714067863, 5.007887E-8, 
711.4, 304048.0, 400.8031099885627, 5.021289E-8, 
711.5, 303781.0, 401.6265945482272, 5.020153E-8, 
711.6, 305644.0, 402.14889725505145, 5.024638E-8, 
711.7, 306369.0, 402.12602268394966, 5.030638E-8, 
711.8000000000001, 305318.0, 402.1031481128479, 5.019804E-8, 
711.9, 304638.0, 402.07646111322913, 5.023307E-8, 
712.0, 305225.0, 402.04977411361034, 5.022252E-8, 
712.1, 304574.0, 402.02308711399166, 5.00715E-8, 
712.2, 305170.0, 401.9964001143729, 5.007191E-8, 
712.3000000000001, 304715.0, 401.9697131147541, 4.991564E-8, 
712.4, 304609.0, 401.9430261151354, 5.016389E-8, 
712.5, 304663.0, 401.92396397255055, 4.993447E-8, 
712.6, 304729.0, 401.89727697293176, 4.992022E-8, 
712.7, 303744.0, 401.8782148303469, 4.999886E-8, 
712.8000000000001, 303737.0, 401.85534025924517, 4.986101E-8, 
712.9, 304117.0, 401.8286532596264, 4.976762E-8, 
713.0, 302484.0, 401.8019662600076, 4.965431E-8, 
713.1, 304017.0, 401.7790916889058, 4.97316E-8, 
713.2, 302690.0, 401.75621711780406, 4.993439E-8, 
713.3000000000001, 303670.0, 401.7371549752192, 4.97507E-8, 
713.4, 301710.0, 401.7028431185665, 4.971092E-8, 
713.5, 302011.0, 401.67996854746474, 4.966809E-8, 
713.6, 303263.0, 401.65328154784595, 4.963947E-8, 
713.7, 302093.0, 401.6265945482272, 4.971794E-8, 
713.8000000000001, 300423.0, 401.59609512009155, 4.963282E-8, 
713.9, 300637.0, 401.56940812047276, 4.967105E-8, 
714.5, 299756.0, 401.54272112085397, 4.946343E-8, 
715.0, 298042.0, 401.50459683568437, 4.938783E-8, 
715.5, 298226.0, 401.4740974075486, 4.937925E-8, 
716.0, 297136.0, 401.4512228364468, 4.916793E-8, 
716.5, 297315.0, 401.42453583682806, 4.916371E-8, 
717.0, 296209.0, 401.39022398017534, 4.889305E-8, 
717.5, 294935.0, 401.36353698055666, 4.886389E-8, 
718.0, 294650.0, 401.32922512390394, 4.866152E-8, 
718.1, 294023.0, 401.30635055280214, 4.886871E-8, 
718.2, 292013.0, 401.2796635531834, 4.880646E-8, 
718.3000000000001, 295195.0, 401.2567889820816, 4.884198E-8, 
718.4, 293780.0, 401.2224771254289, 4.877356E-8, 
718.5, 292707.0, 401.20341498284404, 4.862627E-8, 
718.6, 292488.0, 401.17672798322536, 4.844337E-8, 
718.7, 292768.0, 401.1538534121235, 4.856992E-8, 
718.8000000000001, 293648.0, 401.1233539839878, 4.84532E-8, 
718.9, 291884.0, 401.09666698436905, 4.840748E-8, 
719.0, 290819.0, 401.07379241326726, 4.838296E-8, 
719.1, 290455.0, 401.04710541364847, 4.840579E-8, 
719.2, 291178.0, 401.0280432710637, 4.844344E-8, 
719.3000000000001, 291611.0, 401.00516869996187, 4.838404E-8, 
719.4, 289846.0, 400.9784817003431, 4.837127E-8, 
719.5, 289712.0, 400.9556071292413, 4.845064E-8, 
719.6, 289108.0, 400.93273255813955, 4.841063E-8, 
719.7, 289347.0, 400.9136704155547, 4.821453E-8, 
719.8000000000001, 290168.0, 400.8907958444529, 4.837571E-8, 
719.9, 289491.0, 400.8641088448342, 4.834895E-8, 
720.0, 287860.0, 400.84123427373237, 4.800987E-8, 
720.1, 289088.0, 400.8183597026306, 4.827958E-8, 
720.2, 288544.0, 400.7954851315288, 4.824067E-8, 
720.3000000000001, 287895.0, 400.776422988944, 4.79853E-8, 
720.4, 290108.0, 400.7535484178422, 4.800008E-8, 
720.5, 289883.0, 400.7306738467404, 4.795127E-8, 
720.6, 287601.0, 400.70779927563854, 4.806808E-8, 
720.7, 288920.0, 400.68111227601986, 4.809883E-8, 
720.8000000000001, 287117.0, 400.658237704918, 4.788984E-8, 
720.9, 288312.0, 400.6315507052992, 4.79608E-8, 
721.0, 288274.0, 400.60867613419754, 4.788627E-8, 
721.1, 285607.0, 400.5896139916127, 4.773789E-8, 
721.2, 286957.0, 400.5629269919939, 4.783002E-8, 
721.3000000000001, 285803.0, 400.5324275638582, 4.765154E-8, 
721.4, 285886.0, 400.50574056423943, 4.767173E-8, 
721.5, 288217.0, 400.47905356462064, 4.766759E-8, 
721.6, 287375.0, 400.4561789935189, 4.766008E-8, 
721.7, 286599.0, 400.4333044224171, 4.774969E-8, 
721.8000000000001, 285513.0, 400.4028049942813, 4.750958E-8, 
721.9, 286523.0, 400.37611799466254, 4.756927E-8, 
722.0, 284241.0, 400.35324342356085, 4.750834E-8, 
722.1, 286482.0, 400.32655642394207, 4.766242E-8, 
722.2, 285858.0, 400.3074942813572, 4.748494E-8, 
722.3000000000001, 285039.0, 400.28461971025547, 4.74482E-8, 
722.4, 284406.0, 400.25412028211974, 4.729942E-8, 
722.5, 285596.0, 400.2350581395349, 4.731197E-8, 
722.6, 285218.0, 400.21218356843303, 4.749453E-8, 
722.7, 285543.0, 400.18549656881436, 4.762837E-8, 
722.8000000000001, 284633.0, 400.35324342356085, 4.743629E-8, 
722.9, 284151.0, 401.2872884102173, 4.752691E-8, 
723.0, 285252.0, 402.0002125428898, 4.772603E-8, 
723.1, 285594.0, 402.1603345406024, 4.757908E-8, 
723.2, 285600.0, 402.1336475409836, 4.762821E-8, 
723.3000000000001, 284978.0, 402.11458539839873, 4.75465E-8, 
723.4, 286509.0, 402.08789839878006, 4.737533E-8, 
723.5, 284095.0, 402.06121139916127, 4.758152E-8, 
723.6, 283512.0, 402.0345243995425, 4.753729E-8, 
723.7, 284307.0, 402.01164982844074, 4.743549E-8, 
723.8000000000001, 284017.0, 401.98496282882195, 4.735298E-8, 
723.9, 285015.0, 401.95827582920316, 4.741728E-8, 
724.0, 284837.0, 401.9315888295845, 4.747224E-8, 
724.1, 284731.0, 401.90871425848263, 4.739431E-8, 
724.2, 284501.0, 401.88965211589783, 4.742901E-8, 
724.3000000000001, 285193.0, 401.866777544796, 4.741505E-8, 
724.4, 284746.0, 401.8439029736943, 4.743006E-8, 
724.5, 283487.0, 401.82102840259245, 4.740105E-8, 
724.6, 283753.0, 401.79815383149065, 4.740632E-8, 
724.7, 281558.0, 401.7714668318719, 4.708792E-8, 
724.8000000000001, 282436.0, 401.7485922607701, 4.706177E-8, 
724.9, 283791.0, 401.72190526115133, 4.743863E-8, 
725.0, 282835.0, 401.69521826153266, 4.715311E-8, 
725.1, 281491.0, 401.6723436904308, 4.696666E-8, 
725.2, 282848.0, 401.645656690812, 4.704223E-8, 
725.3000000000001, 279896.0, 401.6227821197102, 4.718941E-8, 
725.4, 282455.0, 401.59609512009155, 4.695991E-8, 
725.5, 281256.0, 401.56940812047276, 4.710614E-8, 
725.6, 280763.0, 401.5465335493709, 4.7166E-8, 
725.7, 282066.0, 401.51984654975223, 4.689721E-8, 
725.8000000000001, 282335.0, 401.49697197865044, 4.717236E-8, 
725.9, 281596.0, 401.47028497903165, 4.709053E-8, 
726.0, 281497.0, 401.4474104079299, 4.70189E-8, 
726.1, 281617.0, 401.42453583682806, 4.704663E-8, 
726.2, 279600.0, 401.40166126572626, 4.68665E-8, 
726.3000000000001, 279666.0, 401.3749742661075, 4.700743E-8, 
726.4, 280330.0, 401.35209969500573, 4.700905E-8, 
726.5, 279674.0, 401.32541269538694, 4.671992E-8, 
726.6, 279685.0, 401.29872569576816, 4.693361E-8, 
726.7, 279703.0, 401.2720386961495, 4.681655E-8, 
726.8000000000001, 277725.0, 401.2453516965307, 4.683513E-8, 
726.9, 279363.0, 401.2186646969119, 4.688733E-8, 
727.0, 278281.0, 401.1919776972932, 4.681605E-8, 
727.1, 277745.0, 401.1691031261914, 4.674191E-8, 
727.2, 278262.0, 401.13860369805565, 4.663736E-8, 
727.3000000000001, 278350.0, 401.11191669843697, 4.647084E-8, 
727.4, 278982.0, 401.0890421273351, 4.659058E-8, 
727.5, 277900.0, 401.06997998475026, 4.645772E-8, 
727.6, 277741.0, 401.05091784216546, 4.627978E-8, 
727.7, 278196.0, 401.0280432710637, 4.635672E-8, 
727.8000000000001, 277089.0, 401.00135627144493, 4.644236E-8, 
727.9, 276604.0, 400.97466927182614, 4.66172E-8, 
728.0, 276416.0, 400.94798227220747, 4.649355E-8, 
728.1, 276626.0, 400.9174828440717, 4.64048E-8, 
728.2, 276070.0, 400.8946082729699, 4.649758E-8, 
728.3000000000001, 273930.0, 400.86792127335116, 4.633736E-8, 
728.4, 275215.0, 400.84504670224936, 4.620263E-8, 
728.5, 275424.0, 400.82217213114757, 4.625342E-8, 
728.6, 275048.0, 400.8031099885627, 4.626619E-8, 
728.7, 273864.0, 400.776422988944, 4.628329E-8, 
728.8000000000001, 273392.0, 400.7497359893252, 4.611492E-8, 
728.9, 275046.0, 400.7230489897064, 4.623344E-8, 
729.3, 273911.0, 400.7001744186047, 4.601561E-8, 
729.5999999999999, 272015.0, 400.6734874189859, 4.608663E-8, 
729.9, 272144.0, 400.6506128478841, 4.606521E-8, 
730.1999999999999, 271034.0, 400.6239258482653, 4.614882E-8, 
730.5, 272487.0, 400.5972388486466, 4.592922E-8, 
730.8, 270588.0, 400.5743642775448, 4.603651E-8, 
731.0999999999999, 270419.0, 400.54386484940903, 4.585848E-8, 
731.4, 269908.0, 400.51717784979036, 4.579745E-8, 
731.6999999999999, 270131.0, 400.4866784216546, 4.546767E-8, 
732.0, 270082.0, 400.4676162790697, 4.556822E-8, 
732.3, 268698.0, 400.4371168509341, 4.540353E-8, 
732.5999999999999, 267969.0, 400.41424227983225, 4.546323E-8, 
732.9, 267996.0, 400.38755528021346, 4.553379E-8, 
733.1999999999999, 267286.0, 400.3608682805948, 4.538642E-8, 
733.5, 266765.0, 400.334181280976, 4.524012E-8, 
733.8, 266620.0, 400.3113067098742, 4.517288E-8, 
734.0999999999999, 265261.0, 400.28080728173853, 4.534904E-8, 
734.4, 264035.0, 400.25412028211974, 4.497125E-8, 
734.6999999999999, 263568.0, 400.2312457110179, 4.48943E-8, 
735.0, 263184.0, 400.2045587113992, 4.465863E-8, 
735.3, 262126.0, 400.1778717117804, 4.483366E-8, 
735.6, 261938.0, 400.4371168509341, 4.468694E-8, 
736.1, 261493.0, 401.24153926801375, 4.464044E-8, 
736.6, 261196.0, 402.08408597026306, 4.448312E-8, 
737.1, 260231.0, 402.1069605413649, 4.455688E-8, 
737.6, 259981.0, 402.0802735417461, 4.45578E-8, 
738.1, 260700.0, 402.04977411361034, 4.46179E-8, 
738.6, 259235.0, 402.02308711399166, 4.447867E-8, 
739.1, 258363.0, 401.9964001143729, 4.435475E-8, 
739.6, 258102.0, 401.9697131147541, 4.424106E-8, 
740.1, 257487.0, 401.9392136866184, 4.397728E-8, 
740.6, 256896.0, 401.9163391155166, 4.387405E-8, 
741.1, 255624.0, 401.88583968738084, 4.416189E-8, 
741.6, 253906.0, 401.86296511627904, 4.409917E-8, 
742.1, 253189.0, 401.8324656881434, 4.375524E-8, 
742.6, 253149.0, 401.8057786885246, 4.367899E-8, 
743.1, 251975.0, 401.78290411742273, 4.379554E-8, 
