Energy_TIFF,Energy_TXT
460.167,460.0
460.543,460.2
460.717,460.4
460.728,460.6
460.923,460.8
461.395,461.0
461.441,461.2
461.558,461.4
461.795,461.6
462.107,461.8
462.148,462.0
462.332,462.2
462.667,462.4
463.016,462.6
463.029,462.8
463.127,463.0
463.346,463.2
463.782,463.4
463.73,463.6
463.989,463.8
464.402,464.0
464.45,464.2
464.761,464.4
464.733,464.6
464.985,464.8
465.219,465.0
465.385,465.2
465.732,465.4
465.719,465.6
466.082,465.8
466.114,466.0
466.559,466.2
466.686,466.4
466.727,466.6
466.977,466.8
467.412,467.0
467.444,467.2
467.815,467.4
467.822,467.6
467.943,467.8
468.397,468.0
468.594,468.2
468.793,468.4
468.859,468.6
469.07,468.8
469.331,469.0
469.635,469.2
469.765,469.4
469.908,469.6
470.177,469.8
470.108,470.0
470.471,470.2
470.813,470.4
470.872,470.6
470.917,470.8
471.427,471.0
471.45,471.2
471.758,471.4
471.965,471.6
472.026,471.8
472.349,472.0
472.528,472.2
472.753,472.4
472.798,472.6
472.926,472.8
473.359,473.0
473.619,473.2
473.549,473.4
473.921,473.6
474.227,473.8
474.336,474.0
474.473,474.2
474.573,474.4
474.771,474.6
474.89,474.8
475.369,475.0
475.546,475.2
475.69,475.4
475.953,475.6
475.955,475.8
476.247,476.0
476.367,476.2
476.498,476.4
476.76,476.6
476.964,476.8
477.366,477.0
477.357,477.2
477.833,477.4
477.707,477.6
478.224,477.8
478.296,478.0
478.384,478.2
478.594,478.4
478.782,478.6
479.167,478.8
479.115,479.0
479.337,479.2
479.511,479.4
479.769,479.6
480.125,479.8
480.357,480.0
480.628,480.2
480.747,480.4
481.029,480.6
481.23,480.8
481.278,481.0
481.623,481.2
481.66,481.4
481.823,481.6
482.038,481.8
482.413,482.0
482.302,482.2
482.589,482.4
483.025,482.6
482.925,482.8
483.398,483.0
483.587,483.2
483.605,483.4
483.793,483.6
484.175,483.8
484.455,484.0
484.439,484.2
484.805,484.4
484.908,484.6
484.933,484.8
485.445,485.0
485.612,485.2
485.684,485.4
485.821,485.6
486.246,485.8
486.423,486.0
486.628,486.2
486.809,486.4
486.713,486.6
486.95,486.8
487.257,487.0
487.395,487.2
487.522,487.4
487.997,487.6
487.915,487.8
488.119,488.0
488.643,488.2
488.818,488.4
488.785,488.6
489.231,488.8
489.178,489.0
489.457,489.2
489.58,489.4
490.051,489.6
490.217,489.8
490.13,490.0
490.343,490.2
490.842,490.4
491.006,490.6
490.988,490.8
491.242,491.0
491.42,491.2
491.588,491.4
491.762,491.6
492.252,491.8
492.093,492.0
492.322,492.2
492.778,492.4
493.032,492.6
493.251,492.8
493.103,493.0
493.633,493.2
493.517,493.4
493.805,493.6
494.185,493.8
494.462,494.0
494.644,494.2
494.758,494.4
494.974,494.6
495.035,494.8
495.403,495.0
495.413,495.2
495.828,495.4
496.041,495.6
496.178,495.8
496.461,496.0
496.3,496.2
496.694,496.4
497.034,496.6
496.914,496.8
497.459,497.0
497.462,497.2
497.537,497.4
498.055,497.6
498.03,497.8
498.119,498.0
498.506,498.2
498.866,498.4
498.715,498.6
499.005,498.8
499.473,499.0
499.316,499.2
499.56,499.4
500.028,499.6
500.038,499.8
500.472,500.0
500.361,500.2
500.516,500.4
500.745,500.6
501.215,500.8
501.232,501.0
501.347,501.2
501.75,501.4
501.841,501.6
501.903,501.8
502.217,502.0
502.662,502.2
502.67,502.4
502.697,502.6
503.109,502.8
503.476,503.0
503.333,503.2
503.512,503.4
503.985,503.6
504.287,503.8
504.172,504.0
504.679,504.2
504.653,504.4
504.911,504.6
504.925,504.8
505.113,505.0
