Energy_TIFF,Energy_TXT
426.645,460.0
460.597,460.2
460.629,460.4
460.736,460.6
461.202,460.8
461.146,461.0
461.358,461.2
461.505,461.4
461.813,461.6
461.916,461.8
462.179,462.0
462.484,462.2
462.796,462.4
462.75,462.6
462.959,462.8
463.113,463.0
463.341,463.2
463.769,463.4
464.006,463.6
464.064,463.8
464.238,464.0
464.321,464.2
464.727,464.4
464.995,464.6
464.911,464.8
465.157,465.0
465.378,465.2
465.729,465.4
465.904,465.6
465.94,465.8
466.228,466.0
466.61,466.2
466.788,466.4
466.839,466.6
467.168,466.8
467.214,467.0
467.53,467.2
467.514,467.4
467.738,467.6
467.907,467.8
468.123,468.0
468.425,468.2
468.542,468.4
468.735,468.6
469.196,468.8
469.341,469.0
469.609,469.2
469.769,469.4
469.819,469.6
469.967,469.8
470.253,470.0
470.309,470.2
470.782,470.4
470.938,470.6
471.06,470.8
471.124,471.0
471.533,471.2
471.582,471.4
471.745,471.6
471.99,471.8
472.401,472.0
472.319,472.2
472.569,472.4
472.714,472.6
473.188,472.8
473.311,473.0
473.594,473.2
473.644,473.4
473.822,473.6
474.243,473.8
474.172,474.0
474.412,474.2
474.768,474.4
475.036,474.6
475.231,474.8
475.121,475.0
475.34,475.2
475.535,475.4
475.937,475.6
476.1,475.8
476.341,476.0
476.474,476.2
476.839,476.4
476.719,476.6
477.154,476.8
477.334,477.0
477.562,477.2
477.521,477.4
477.827,477.6
478.015,477.8
478.371,478.0
478.328,478.2
478.732,478.4
478.836,478.6
478.946,478.8
479.136,479.0
479.405,479.2
479.731,479.4
480.013,479.6
479.974,479.8
480.372,480.0
480.603,480.2
480.813,480.4
480.915,480.6
480.902,480.8
481.242,481.0
481.364,481.2
481.664,481.4
481.743,481.6
482.065,481.8
482.358,482.0
482.49,482.2
482.655,482.4
482.944,482.6
483.238,482.8
483.401,483.0
483.623,483.2
483.517,483.4
483.944,483.6
484.109,483.8
484.389,484.0
484.466,484.2
484.817,484.4
485.025,484.6
485.16,484.8
485.185,485.0
485.646,485.2
485.515,485.4
485.964,485.6
485.932,485.8
486.161,486.0
486.617,486.2
486.523,486.4
486.719,486.6
486.992,486.8
487.203,487.0
487.335,487.2
487.815,487.4
487.725,487.6
487.925,487.8
488.32,488.0
488.357,488.2
488.591,488.4
488.724,488.6
489.185,488.8
489.446,489.0
489.651,489.2
489.507,489.4
490.054,489.6
490.112,489.8
490.37,490.0
490.472,490.2
490.534,490.4
490.815,490.6
490.97,490.8
491.428,491.0
491.669,491.2
491.832,491.4
492.005,491.6
491.993,491.8
492.406,492.0
492.611,492.2
492.527,492.4
493.046,492.6
492.954,492.8
493.423,493.0
493.39,493.2
493.869,493.4
493.783,493.6
493.976,493.8
494.154,494.0
494.307,494.2
494.509,494.4
494.929,494.6
495.025,494.8
495.103,495.0
495.463,495.2
495.769,495.4
495.937,495.6
496.039,495.8
496.286,496.0
496.643,496.2
496.498,496.4
496.996,496.6
496.907,496.8
497.264,497.0
497.326,497.2
497.725,497.4
497.708,497.6
498.014,497.8
498.338,498.0
498.652,498.2
498.516,498.4
498.949,498.6
498.933,498.8
499.127,499.0
499.644,499.2
499.77,499.4
499.769,499.6
500.173,499.8
500.289,500.0
500.336,500.2
500.75,500.4
500.948,500.6
501.017,500.8
501.225,501.0
501.627,501.2
501.761,501.4
501.883,501.6
502.288,501.8
502.116,502.0
502.646,502.2
502.873,502.4
502.968,502.6
503.251,502.8
503.455,503.0
503.463,503.2
503.911,503.4
504.0,503.6
503.952,503.8
504.455,504.0
504.382,504.2
504.558,504.4
505.028,504.6
505.087,504.8
505.392,505.0
